City,Country,CountryCode,DepartmentNameNative,InstituteNameHEPnew,InstituteNameHEPold,InstituteNameNative,Latitude,Longitude,ZIPcode,recid,LatitudeCity,LongitudeCity
Noblesville,USA,US,,,"FEPCO, Noblesville",,40.056292,-86.016294,46060,907135,40.0455917,-86.0085955
Lancaster,USA,US,,,"Burle Industries, Lancaster",,40.0575816,-76.3369549,17604,907071,40.0378755,-76.3055144
St. Davids,USA,US,,,Eastern U.,,40.0600713,-75.3995089,,910345,40.0409428,-75.3785234
Radnor,USA,US,,,"Am. Aerosp. Advr., Radnor",,40.0600713,-75.3995089,,911891,40.043912,-75.3754599
California,USA,US,,,California State Coll. of Penn.,,40.062529,-79.895319,15419,903950,36.778261,-119.4179324
Boulder,USA,US,,,Starsys Res. Corp.,,40.06316,-105.20351,,910331,40.0149856,-105.2705456
Lancaster,USA,US,,,"KAI Sci. Tech., Lancaster",,40.06318,-76.430196,17601,908141,40.0378755,-76.3055144
Wheeling,USA,US,,,Wheeling Jesuit U.,,40.068099,-80.690491,26003,909415,40.0639616,-80.7209149
Philadelphia,USA,US,,,Farnsworth Television,,40.07015,-75.19543,,911709,39.9525839,-75.1652215
Newark,USA,US,,,"Ohio State U., Newark",,40.070256,-82.448713,45804,909403,40.735657,-74.1723667
Granville,USA,US,,,Denison U.,,40.078791,-82.519399,43023,903975,40.0681192,-82.5196037
Philadelphia,USA,US,,,Chestnut Hill Coll.,,40.08464,-75.228119,19118,906483,39.9525839,-75.1652215
Champaign,USA,US,,,"Wolfram Res., Champaign",,40.097815,-88.24478,61820,909803,40.1164204,-88.2433829
Champaign,USA,US,,,Illinois State Geol. Survey,,40.101365,-88.229914,61820,908424,40.1164204,-88.2433829
Urbana,USA,US,,,"Electronic Decisions, Urbana",,40.105822,-88.185908,61801,905809,40.1105875,-88.2072697
Urbana,USA,US,,obsolete,"Illinois U., Urbana, Materials Res. Lab",,40.109522,-88.203631,61801,904301,40.1105875,-88.2072697
Urbana,USA,US,,,Newmark Consulting Engineering,,40.109522,-88.203631,61801,907103,40.1105875,-88.2072697
Urbana,USA,US,Department of Mathematics,"U. Illinois, Urbana-Champaign, Dept. Math.","Illinois U., Urbana, Math. Dept.",University of Illinois,40.109522,-88.203631,61801,908658,40.1105875,-88.2072697
Urbana,USA,US,Department of Physics,"U. Illinois, Urbana-Champaign, Dept. Phys.","Illinois U., Urbana",University of Illinois,40.110342982,-88.222424984,61801-3080,902867,40.1105875,-88.2072697
Urbana,USA,US,,"U. Illinois, Urbana-Champaign","Illinois U., Urbana (main)",University of Illinois,40.110342982,-88.222424984,61801,1112663,40.1105875,-88.2072697
Urbana,USA,US,Department of Astronomy,"U. Illinois, Urbana-Champaign, Dept. Astron.","Illinois U., Urbana, Astron. Dept.",University of Illinois at Urbana-Champaign,40.110639,-88.220671,61801,904734,40.1105875,-88.2072697
Anderson,USA,US,,,Anderson U.,,40.111314,-85.665804,46012,910247,40.1053196,-85.6802541
Urbana,USA,US,National Center for Supercomputing Applications (NCSA),"U. Illinois, Urbana-Champaign, NCSA","NCSA, Urbana",University of Illinois at Urbana-Champaign,40.112319,-88.214791,61801,906388,40.1105875,-88.2072697
Urbana,USA,US,,obsolete,"Illinois U., Beckman Inst.",,40.115566,-88.225748,61801,907991,40.1105875,-88.2072697
Abington,USA,US,,,"Penn State U., Abington",,40.116576,-75.107169,19001,904391,40.1240795,-75.1195107
Longmont,USA,US,,,"Mater. Res. Engin., Longmont",,40.1204463,-105.1541949,,914868,40.1672068,-105.1019275
Champaign,USA,US,,,Parkland Coll.,,40.127647,-88.285679,61821,906906,40.1164204,-88.2433829
Boulder,USA,US,Department of Physics,"U. Colorado, Boulder, Dept. Phys.",Colorado U.,University of Colorado,40.1326910059,-105.270996094,80309,902748,40.0149856,-105.2705456
Blue Bell,USA,US,,,"Unisys, Blue Bell",,40.152222,-75.266667,19424,1241084,40.1523309,-75.266289
Elizabethtown,USA,US,,,Elizabethtown Coll.,,40.155331,-76.602545,17022,905996,37.7030646,-85.8649408
Grantham,USA,US,,,Messiah Coll.,,40.158342,-76.990336,17027,910973,43.5225457,-72.1534606
Longmont,USA,US,,,"Helix Technol., Longmont",,40.1672068,-105.1019275,,909322,40.1672068,-105.1019275
Washington,USA,US,,,Washington - Jefferson Coll.,,40.170648,-80.240861,15301,905462,47.7510741,-120.7401386
